행정구역,디지털과잉지수
서울특별시 종로구,0.01035801852884862
서울특별시 중구,0.01799166207435022
서울특별시 용산구,0.003552742625810778
서울특별시 성동구,0.0028321284491142885
서울특별시 광진구,0.0013409239058914213
서울특별시 동대문구,0.003845584185685279
서울특별시 중랑구,0.0020212926719405367
서울특별시 성북구,0.0016551764733864817
서울특별시 강북구,0.01187897358969873
서울특별시 도봉구,0.005572094014729206
서울특별시 노원구,0.0008906557990692291
서울특별시 은평구,0.0035336467019803372
서울특별시 서대문구,0.002927272723250758
서울특별시 마포구,0.0007059070670929376
서울특별시 양천구,0.0024395027178698995
서울특별시 강서구,0.001311668953960793
서울특별시 구로구,0.0019131997258946174
서울특별시 금천구,0.004107154600502942
서울특별시 영등포구,0.0020723205882095803
서울특별시 동작구,0.000894460741136741
서울특별시 관악구,0.0011553978321320589
서울특별시 서초구,0.0005926851052217789
서울특별시 강남구,0.0012399016766528545
서울특별시 송파구,0.00014351687773205094
서울특별시 강동구,0.0019925403486793867
부산광역시 중구,0.08030630073801398
부산광역시 서구,0.010286489907266487
부산광역시 동구,0.02613365766087799
부산광역시 영도구,0.00859245661973104
부산광역시 부산진구,0.004737780712414335
부산광역시 동래구,0.0
부산광역시 남구,0.005938760266793895
부산광역시 북구,0.00433693225098887
부산광역시 해운대구,0.003493440395764121
부산광역시 사하구,0.0053596388770124175
부산광역시 금정구,0.012668590487983456
부산광역시 강서구,0.0008212598747806705
부산광역시 연제구,0.00846928833513353
부산광역시 수영구,0.010897673834115206
부산광역시 사상구,0.008174312810534863
부산광역시 기장군,0.004141350299928321
대구광역시 중구,0.007391170154112321
대구광역시 동구,0.0021377520430350045
대구광역시 서구,0.006308011594497453
대구광역시 남구,0.006375854026430318
대구광역시 북구,0.00028420269575224206
대구광역시 수성구,0.000336278166711512
대구광역시 달서구,0.0005098580828391386
대구광역시 달성군,0.0017234524222378932
대구광역시 군위군,0.3880754979863144
인천광역시 중구,0.003235684187192094
인천광역시 동구,0.031742220839318575
인천광역시 연수구,1.7645442367924218e-05
인천광역시 남동구,0.0016556898840659167
인천광역시 부평구,0.00039665669280556954
인천광역시 계양구,0.0020403950500690157
인천광역시 서구,0.00010376125307816957
인천광역시 미추홀구,0.001755980262755833
인천광역시 강화군,0.10827534987982795
인천광역시 옹진군,0.19909070394345607
광주광역시 동구,0.019426105601561564
광주광역시 서구,0.005188487814942535
광주광역시 남구,0.009615702181350307
광주광역시 북구,0.005470606361676953
광주광역시 광산구,0.00021741765323823994
대전광역시 동구,0.006425814421509539
대전광역시 중구,0.003282602096016145
대전광역시 서구,0.0015488748808579426
대전광역시 유성구,6.932159192103992e-05
대전광역시 대덕구,0.005893786222466393
울산광역시 중구,0.006052508156750322
울산광역시 남구,0.0026419285766925028
울산광역시 동구,0.0035759844650531435
울산광역시 북구,0.00011905067568984219
울산광역시 울주군,0.007141506155641345
세종특별자치시,5.8662959795009415e-05
경기도 수원시,0.0003161313468627461
경기도 성남시,0.0013005322296985972
경기도 의정부시,0.0024424825079530773
경기도 안양시,0.0008315080226439415
경기도 부천시,0.001005219207200371
경기도 광명시,0.0039565003288423075
경기도 평택시,0.0003283143012064792
경기도 동두천시,0.012850358333342665
경기도 안산시,0.0003166219260734382
경기도 고양시,0.0004405645936267513
경기도 과천시,0.0005809314132869655
경기도 구리시,0.002176414512933199
경기도 남양주시,0.001347577532250686
경기도 오산시,0.00011116626141056772
경기도 시흥시,4.76887688318767e-05
경기도 군포시,0.0012020607282000428
경기도 의왕시,0.0019053512008886501
경기도 하남시,0.001051230300637564
경기도 용인시,0.00014993226195043235
경기도 파주시,0.000938668358891254
경기도 이천시,0.003299295605571975
경기도 안성시,0.0044855283314454595
경기도 김포시,7.10639364900289e-05
경기도 화성시,0.0
경기도 광주시,0.0009143372401110606
경기도 양주시,0.0019740330789801523
경기도 포천시,0.018178486266446352
경기도 여주시,0.01938501887821287
경기도 연천군,0.15434092173653574
경기도 가평군,0.05625612485917547
경기도 양평군,0.048845424725662924
강원특별자치도 춘천시,0.0070728889449421005
강원특별자치도 원주시,0.0021648340339448925
강원특별자치도 강릉시,0.022662003005304063
강원특별자치도 동해시,0.017436621011034707
강원특별자치도 태백시,0.08420574656952658
강원특별자치도 속초시,0.04131827093149436
강원특별자치도 삼척시,0.06218751753760639
강원특별자치도 홍천군,0.163950972857939
강원특별자치도 횡성군,0.26368033897745013
강원특별자치도 영월군,0.3178806673288745
강원특별자치도 평창군,0.15717860028301325
강원특별자치도 정선군,0.25973402987526995
강원특별자치도 철원군,0.09928983400727488
강원특별자치도 화천군,0.08382855425915742
강원특별자치도 양구군,0.0628247243302129
강원특별자치도 인제군,0.05547995589908467
강원특별자치도 고성군,0.11015965344846387
강원특별자치도 양양군,0.24746931608784803
충청북도 충주시,0.013393526740144528
충청북도 제천시,0.05024210257589978
충청북도 청주시,0.002582652921393288
충청북도 보은군,0.4114757900399567
충청북도 옥천군,0.13915300226154007
충청북도 영동군,0.209696460509579
충청북도 진천군,0.004888980679073833
충청북도 괴산군,0.29427677408308317
충청북도 음성군,0.015607676860285939
충청북도 단양군,0.18840917471507337
충청북도 증평군,0.00735389226983958
충청남도 천안시,0.0005315090245780935
충청남도 공주시,0.06689293124195222
충청남도 보령시,0.10584110950360544
충청남도 아산시,0.001513087103285741
충청남도 서산시,0.011121036971178208
충청남도 논산시,0.06672443987205874
충청남도 계룡시,0.0028755425072299096
충청남도 당진시,0.015683250949458775
충청남도 금산군,0.08687076220507031
충청남도 부여군,0.27865412714938576
충청남도 서천군,0.15443473908114075
충청남도 청양군,0.34514843678850726
충청남도 홍성군,0.035493992443522034
충청남도 예산군,0.12225291435471713
충청남도 태안군,0.1125185568475909
전북특별자치도 전주시,0.002424535243968321
전북특별자치도 군산시,0.006790901965399879
전북특별자치도 익산시,0.008759525436223074
전북특별자치도 정읍시,0.0818957136278852
전북특별자치도 남원시,0.16826603894120293
전북특별자치도 김제시,0.07605409473513175
전북특별자치도 완주군,0.01795632548251271
전북특별자치도 진안군,0.5494920347126027
전북특별자치도 무주군,0.23785552505254903
전북특별자치도 장수군,0.2807286748903059
전북특별자치도 임실군,0.1084582685615546
전북특별자치도 순창군,0.16279112549576275
전북특별자치도 고창군,0.10373308988691382
전북특별자치도 부안군,0.2365017330173417
전라남도 목포시,0.01362428575089627
전라남도 여수시,0.017447982039490457
전라남도 순천시,0.0098718362153658
전라남도 나주시,0.028895369651060772
전라남도 광양시,0.00420557982721836
전라남도 담양군,0.13467788710596815
전라남도 곡성군,0.39958107188323866
전라남도 구례군,0.15338530188683744
전라남도 고흥군,0.4594881503938135
전라남도 보성군,0.4651546689086837
전라남도 화순군,0.14912492889751686
전라남도 장흥군,0.2880207713139882
전라남도 강진군,0.14011251029387956
전라남도 해남군,0.22886517193181355
전라남도 영암군,0.06131482211455234
전라남도 무안군,0.012806085670647928
전라남도 함평군,0.2739868693024378
전라남도 영광군,0.1472716798213227
전라남도 장성군,0.0933865183585521
전라남도 완도군,0.16852673068090943
전라남도 진도군,0.3054438380448907
전라남도 신안군,0.2904543766127336
경상북도 포항시,0.009170422676749853
경상북도 경주시,0.023188069068484172
경상북도 김천시,0.036786834021170896
경상북도 안동시,0.053702208011183195
경상북도 구미시,0.0004933329470452061
경상북도 영주시,0.08613065725778293
경상북도 영천시,0.09122651109025509
경상북도 상주시,0.16645999655036395
경상북도 문경시,0.2149189581610352
경상북도 경산시,0.002690265662884911
경상북도 의성군,0.5986254397459443
경상북도 청송군,0.36051620489782576
경상북도 영양군,0.4557647856335692
경상북도 영덕군,0.5652607476690109
경상북도 청도군,0.2610147551517962
경상북도 고령군,0.13846913226726276
경상북도 성주군,0.17567519037943113
경상북도 칠곡군,0.008657851769036688
경상북도 예천군,0.1327782330419136
경상북도 봉화군,0.3601370942004945
경상북도 울진군,0.1858185945035427
경상북도 울릉군,0.14549493787622877
경상남도 진주시,0.004690433002138969
경상남도 통영시,0.029867722073628408
경상남도 사천시,0.030226672623558496
경상남도 김해시,0.0004033019864686793
경상남도 밀양시,0.10569579261432294
경상남도 거제시,0.00340105923575419
경상남도 양산시,0.0026246003848448933
경상남도 창원시,0.0068269289887728166
경상남도 의령군,0.5511385091759418
경상남도 함안군,0.054586786240214444
경상남도 창녕군,0.17693510417571637
경상남도 고성군,0.10929565499754468
경상남도 남해군,0.3150667392526341
경상남도 하동군,0.41204092354922683
경상남도 산청군,0.37497247467354183
경상남도 함양군,0.14207565922724816
경상남도 거창군,0.11994278367623393
경상남도 합천군,0.6639604284093112
제주특별자치도 제주시,0.0020426845668592734
제주특별자치도 서귀포시,0.013421095426012435
